country_name,country_code,development_flag,date,gdp_growth_per_capita,gdp_per_capita,log_gdp_per_capita
"Korea, Rep.",KOR,developed country,1972,5.221768933770662,NA,NA
"Korea, Rep.",KOR,developed country,1973,12.884442118628783,NA,NA
"Korea, Rep.",KOR,developed country,1974,7.652190868213651,NA,NA
"Korea, Rep.",KOR,developed country,1975,6.041235059310338,NA,NA
"Korea, Rep.",KOR,developed country,1976,11.42815462785083,NA,NA
"Korea, Rep.",KOR,developed country,1977,10.598201529084477,NA,NA
"Korea, Rep.",KOR,developed country,1978,9.280130730009972,NA,NA
"Korea, Rep.",KOR,developed country,1979,7.035259337944552,NA,NA
"Korea, Rep.",KOR,developed country,1980,-3.166620521675071,NA,NA
"Korea, Rep.",KOR,developed country,1981,5.5859026676615855,NA,NA
"Korea, Rep.",KOR,developed country,1982,6.676618914538238,NA,NA
"Korea, Rep.",KOR,developed country,1983,11.71702140972333,NA,NA
"Korea, Rep.",KOR,developed country,1984,9.195795760370686,NA,NA
"Korea, Rep.",KOR,developed country,1985,6.782329339527422,NA,NA
"Korea, Rep.",KOR,developed country,1986,10.22535192076353,NA,NA
"Korea, Rep.",KOR,developed country,1987,11.618665630403441,NA,NA
"Korea, Rep.",KOR,developed country,1988,10.896495191322614,NA,NA
"Korea, Rep.",KOR,developed country,1989,6.019063097017167,NA,NA
"Korea, Rep.",KOR,developed country,1990,8.80042947047626,8355.332773974704,9.030655269557059
"Korea, Rep.",KOR,developed country,1991,9.686998929358381,9474.64259647045,9.156374308550049
"Korea, Rep.",KOR,developed country,1992,5.100781695835053,10184.855664589293,9.22865715718978
"Korea, Rep.",KOR,developed country,1993,5.797285517093158,11030.711948460079,9.30843865671574
"Korea, Rep.",KOR,developed country,1994,8.17476415138178,12187.254965927339,9.40814600974418
"Korea, Rep.",KOR,developed country,1995,8.517153044541615,13502.582742079396,9.51063626035639
"Korea, Rep.",KOR,developed country,1996,6.867624488423957,14694.096244500832,9.595201076077164
"Korea, Rep.",KOR,developed country,1997,5.179629765826178,15721.705657692119,9.662797562494955
"Korea, Rep.",KOR,developed country,1998,-5.811819627328802,14974.659574711835,9.614114689817864
"Korea, Rep.",KOR,developed country,1999,10.67745058353779,16807.12947641953,9.729558448966744
"Korea, Rep.",KOR,developed country,2000,8.152689659585306,18538.835532559173,9.827623028763238
"Korea, Rep.",KOR,developed country,2001,4.051006402976071,19724.425945722855,9.889613042412142
"Korea, Rep.",KOR,developed country,2002,7.104333109548435,21396.83774553693,9.9709984211909
"Korea, Rep.",KOR,developed country,2003,2.614039827266396,22095.870826346974,10.003146029612207
"Korea, Rep.",KOR,developed country,2004,4.781286153240515,23773.82865367812,10.076340618215788
"Korea, Rep.",KOR,developed country,2005,4.087645146619039,25186.867566809233,10.134078009363748
"Korea, Rep.",KOR,developed country,2006,4.71292765493601,26884.267328335838,10.199296536811278
"Korea, Rep.",KOR,developed country,2007,5.266361145719316,29064.91808468666,10.27728716178249
"Korea, Rep.",KOR,developed country,2008,2.233752259771677,29946.077489130246,10.307153626323057
"Korea, Rep.",KOR,developed country,2009,0.27526898032958513,29508.381506061505,10.292429620823336
"Korea, Rep.",KOR,developed country,2010,6.274019888653882,31736.62843709254,10.365226764023964
"Korea, Rep.",KOR,developed country,2011,2.8914119943402596,32546.753653123364,10.390432908503897
"Korea, Rep.",KOR,developed country,2012,1.8655994959656255,33557.128719643435,10.421004600295323
"Korea, Rep.",KOR,developed country,2013,2.696150961289547,34244.31213931174,10.441275760974197
"Korea, Rep.",KOR,developed country,2014,2.556219508834971,35324.497670477314,10.472331987224509
"Korea, Rep.",KOR,developed country,2015,2.268429400685818,37902.400403757805,10.542769724256427
"Korea, Rep.",KOR,developed country,2016,2.539144728843496,39575.45428300312,10.585964363723205
"Korea, Rep.",KOR,developed country,2017,2.8701969615114677,40957.418058714524,10.620288222050643
"Korea, Rep.",KOR,developed country,2018,2.4622462161331384,43044.29176333706,10.669984905555303
"Korea, Rep.",KOR,developed country,2019,1.8889146004306951,42998.38824476592,10.668917911293343
"Korea, Rep.",KOR,developed country,2020,-0.9886318190164616,45225.84454351455,10.71942398435148
"Korea, Rep.",KOR,developed country,2021,4.204822747803078,46918.47482244927,10.75616679632368
Luxembourg,LUX,developed country,1961,2.8878467412547764,NA,NA
Luxembourg,LUX,developed country,1962,0.12467724599144958,NA,NA
Luxembourg,LUX,developed country,1963,2.369929232732119,NA,NA
Luxembourg,LUX,developed country,1964,6.664577025913161,NA,NA
Luxembourg,LUX,developed country,1965,-1.8578415953805205,NA,NA
Luxembourg,LUX,developed country,1966,0.3806801936148645,NA,NA
Luxembourg,LUX,developed country,1967,-0.11234396235687427,NA,NA
Luxembourg,LUX,developed country,1968,3.9186432741182387,NA,NA
Luxembourg,LUX,developed country,1969,9.435212860052019,NA,NA
Luxembourg,LUX,developed country,1970,10.547121730326367,NA,NA
Luxembourg,LUX,developed country,1971,1.692794199210283,NA,NA
Luxembourg,LUX,developed country,1972,5.312930527633014,NA,NA
