country_name,country_code,development_flag,date,imports_pc_gdp,log_imports_pc_gdp,exports_pc_gdp,log_exports_pc_gdp,current_account_balance,capital_account_balance,financial_account_balance,balance_of_payments
Finland,FIN,developed country,1981,30.309717077783908,3.411468356739902,31.28694144534636,3.4432008042724127,-478183388.614926,0,-341992724.469039,665619171.794315
Finland,FIN,developed country,1982,28.701259257528676,3.3569409983719702,28.874144335677403,3.3629465350064263,-923075101.53691,0,-932508708.621387,401022677.936607
Finland,FIN,developed country,1983,28.715027642821244,3.3574205969771667,28.70455687719886,3.3570558863709867,-1124269736.12926,0,-1040544160.44401,164003189.455499
Finland,FIN,developed country,1984,27.11372989150767,3.3000402376509372,29.485596707818928,3.383901896921724,-20635960.5557533,0,-521342199.384798,1245209510.38128
Finland,FIN,developed country,1985,27.319083183105846,3.3075854756880223,27.988668555240793,3.3317997338086167,-806258709.175277,0,-849613475.764496,379048210.110754
Finland,FIN,developed country,1986,24.33605027674541,3.191958801456018,25.647201441947264,3.2444344600872275,-693308768.639315,0,-204542175.963059,976683996.210306
Finland,FIN,developed country,1987,24.48018193632229,3.197863889655817,24.99852324413728,3.218816752888977,-1731474349.39503,0,-3101632580.83245,324345689.369857
Finland,FIN,developed country,1988,24.252179919971848,3.1885065069503904,23.905478148664677,3.1741076439137816,-2693879544.36549,0,-1840611647.97029,-473916346.702965
Finland,FIN,developed country,1989,24.851264975375766,3.2129086556887314,23.023366825394977,3.1365096491325235,-5797060598.40192,0,-4539294733.59073,-2370745702.51609
Finland,FIN,developed country,1990,23.695291285084487,3.165276348447368,22.1462417132994,3.0976678077516824,-6962269019.46931,0,-8473415546.13901,-2275912527.64528
Finland,FIN,developed country,1991,22.21889780089529,3.100943179061065,21.269519787339323,3.057275051963362,-6807373406.47853,-70935053.6994964,-6081465531.55019,-1145210129.37269
Finland,FIN,developed country,1992,24.69745936637494,3.20670037868258,25.54433724139558,3.2404156576975343,-5115907404.59358,0,-5222012664.01975,1088481865.41416
Finland,FIN,developed country,1993,26.783964157371543,3.2878033560957283,31.380967937648762,3.4462015925158718,-1135004052.24786,0,-82466458.8184705,4224687220.80975
Finland,FIN,developed country,1994,28.39259936748614,3.3461285255569235,34.03563675632789,3.527408115593068,1110443784.94594,0,617904212.951744,5877879139.73525
Finland,FIN,developed country,1995,28.308760109184263,3.3431713012443227,35.76494941602654,3.576968347216457,5231356798.12895,65694173.822407,3915472853.87221,10267857857.3228
Finland,FIN,developed country,1996,29.402544987902,3.381081234812524,36.31946553294868,3.592353838122304,5002580419.46603,55648059.9758851,4685485763.90974,9626845550.57489
Finland,FIN,developed country,1997,30.443925022787372,3.415886467611,37.77739673486332,3.6317109537930308,6632800363.77208,247458946.970413,5282159875.93965,9948921881.08699
Finland,FIN,developed country,1998,29.528362966283183,3.385351257926707,37.438783471952455,3.6227071583451784,7339629117.19132,90668361.4055622,2015813201.03845,11421491117.1127
Finland,FIN,developed country,1999,28.635475432569574,3.354646348905809,37.60439976047149,3.627121058456295,8044740599.56044,48971934.4322347,6564634640.21978,11074053262.7106
Finland,FIN,developed country,2000,32.863780947215666,3.4923711682911094,42.031046158807406,3.738408539471172,10527099590.0977,103409340.821616,9221884922.08753,12972883672.4601
Finland,FIN,developed country,2001,30.51276378018088,3.4181450806692038,39.764084409657876,3.6829641031134104,12082014153.4109,83277565.9346569,11366334863.0727,13763770099.4629
Finland,FIN,developed country,2002,30.16445994908611,3.406664408503092,39.13500262651024,3.6670172743708975,12091805084.2627,124691432.238863,7128723127.53956,13426695709.6185
Finland,FIN,developed country,2003,30.734963657091647,3.4254008878982654,37.32083901706107,3.619551857426891,8539305696.64523,149296123.725518,8632604453.69571,12281727582.4147
Finland,FIN,developed country,2004,32.34482671739377,3.4764540921587903,38.61537686289825,3.6536505614685733,12556749492.8932,187768485.019842,10277326429.5581,13386670377.7013
Finland,FIN,developed country,2005,36.30584077674619,3.5919786312679816,40.27336705386582,3.695690383333953,7782802138.88333,323633558.172959,3821316591.25292,9696388683.17442
Finland,FIN,developed country,2006,38.909292815954004,3.661233111965042,43.07420024638947,3.7629242157039537,7997111885.27905,212244381.665387,6923621717.51631,9021339939.93304
Finland,FIN,developed country,2007,39.031495894628804,3.6643689072484578,43.82590660280534,3.7802251174799295,9578241229.02915,209654434.659584,-63962106.0994287,12316920154.6697
Finland,FIN,developed country,2008,41.28432810851157,3.720482963267095,44.90000772141147,3.804437966717269,5710039150.76064,272079038.220537,-6127336044.23441,10389802073.1168
Finland,FIN,developed country,2009,34.04237759082681,3.527606148235048,36.08092568240466,3.585764351251242,4407663177.32742,227152588.467751,-6639258048.467,5208263836.56376
Finland,FIN,developed country,2010,37.050009832946216,3.6122686171387195,38.414397559303296,3.6484323257627684,2792225335.64214,234161986.643579,4369709223.6941,3092458460.17315
Finland,FIN,developed country,2011,39.67918867867352,3.680826835601627,38.900392933261955,3.6610043516855173,-4797433834.80789,264475662.540584,-11400791129.9296,-2329351484.03679
Finland,FIN,developed country,2012,40.36222187955451,3.6978942454952652,38.80827907300646,3.6586336020376136,-5899068430.12718,264695013.720782,-22154583692.159,-3770623764.817
Finland,FIN,developed country,2013,39.076257457627946,3.665515056407233,38.017629122801864,3.638049976431046,-4856099894.06217,290877230.819136,-9099452337.48288,-2876202709.98516
Finland,FIN,developed country,2014,37.631285132215545,3.627835755821696,36.48143762355181,3.5968035729699803,-3790146118.70018,225815038.726333,-10274751809.8041,-3191310892.47173
Finland,FIN,developed country,2015,35.97558956406557,3.582840640799413,35.40695886652317,3.566908378971148,-2209431644.07303,174231192.226161,-475359162.109172,-1340289591.35413
Finland,FIN,developed country,2016,36.08804788569222,3.585961727019763,34.81045246830147,3.5499176999664344,-4841647992.55956,118130431.505588,-8067949695.20014,-3058255108.5489
Finland,FIN,developed country,2017,37.503590350904325,3.624436671084108,37.54954684247971,3.625661310027595,-1952469032.86423,200232308.167316,-7602541814.51966,124665896.288548
Finland,FIN,developed country,2018,39.72236023780561,3.68191425930999,38.46779858481676,3.6498214909213975,-5158732134.86265,229098116.556777,-18974047171.4927,-3434724257.30769
Finland,FIN,developed country,2019,39.725747544319,3.6819995302273223,39.88167703417107,3.685916996219784,-879444515.178569,210490444.832251,-9698963434.92969,420342592.586578
Finland,FIN,developed country,2020,35.5204941280279,3.5701098292892555,35.75873442719385,3.5767945589406196,2267961672.31826,228294145.416244,-867869940.640751,819939322.330826
Finland,FIN,developed country,2021,38.69823748487748,3.6557940559721995,38.9326859971376,3.661834154801941,2114766496.89754,212985733.766234,-552650873.881698,638299918.181816
France,FRA,developed country,1960,12.379894948114616,2.516073781607734,NA,NA,NA,442157746.36382,-2350243367.73533,NA
France,FRA,developed country,1961,12.263909404234367,2.506660754411958,14.41063515509601,2.667966486423536,-4208340488.6611,442157746.36382,-2350243367.73533,2151443711.41891
France,FRA,developed country,1962,11.960074508839138,2.481573978339129,13.174357712719221,2.57827234278134,-4208340488.6611,442157746.36382,-2350243367.73533,2151443711.41891
France,FRA,developed country,1963,12.231557826754868,2.5040193190815225,12.927548045270715,2.5593605417981165,-4208340488.6611,442157746.36382,-2350243367.73533,2151443711.41891
France,FRA,developed country,1964,12.910748357006572,2.558060170413727,13.094480955409512,2.57219084032108,-4208340488.6611,442157746.36382,-2350243367.73533,2151443711.41891
France,FRA,developed country,1965,12.385177043259795,2.5165003578137,13.569391013059068,2.60781659539385,-4208340488.6611,442157746.36382,-2350243367.73533,2151443711.41891
