location,gdp_hr_worked,date,multifactor_prod_agrwth,capital_services_pc_growth,adult_education_pc,avg_wage,trade_union_density,int_trade_pc_gdp,transport_investment_eur,unemployment_pc,r_and_d_spending_pc,flexible_work_pc
BEL,33.734739,1977-01-01,NA,NA,NA,NA,NA,-4816.4846,NA,5.6700000762939498,NA,NA
BEL,34.999186,1978-01-01,NA,NA,NA,NA,NA,-5273.924,NA,7.9000000953674299,NA,NA
BEL,35.83151,1979-01-01,NA,NA,NA,NA,NA,-7469.0441,NA,6.96000003814697,NA,NA
BEL,37.926748,1980-01-01,NA,NA,NA,NA,NA,-5660.0943,NA,9.1000003814697301,NA,NA
BEL,39.059991,1981-01-01,NA,NA,NA,NA,NA,-547.7727,NA,11.3500003814697,NA,NA
BEL,40.152071,1982-01-01,NA,NA,NA,NA,NA,827.6395,NA,13,NA,NA
BEL,40.667746,1983-01-01,NA,NA,NA,NA,NA,4668.6512,NA,11.6599998474121,NA,18.649999618530298
BEL,41.091798,1984-01-01,NA,NA,NA,NA,NA,5048.4344,NA,11.8800001144409,NA,17.389999389648398
BEL,41.42787,1985-01-01,-0.087416,3.663618,NA,NA,NA,4987.5782,NA,11.319999694824199,NA,17.049999237060501
BEL,42.416081,1986-01-01,0.979077,3.474895,NA,NA,NA,3190.5918,NA,11.2799997329712,NA,17.620000839233398
BEL,43.463617,1987-01-01,1.220424,3.42078,NA,NA,NA,1397.5248,NA,11.2600002288818,NA,17.4799995422363
BEL,44.978084,1988-01-01,2.51018,4.138738,NA,NA,NA,614.1182,NA,10.1300001144409,NA,17.530000686645501
BEL,46.079855,1989-01-01,1.284802,5.152232,16.86467,NA,NA,-1320.7845,NA,8.2799997329711896,NA,17.639999389648398
BEL,46.621525,1990-01-01,0.235123,5.646121,NA,41140.9385689379,NA,-1797.5521,NA,7.25,NA,18.2399997711182
BEL,48.396186,1991-01-01,1.950417,5.060261,19.620007,42776.7052461695,NA,-1561.9499,NA,6.9800000190734899,NA,19.549999237060501
BEL,49.908938,1992-01-01,1.474233,4.890343,20.226023,43919.4479734754,NA,-2305.1012,NA,6.6999998092651403,NA,20.5100002288818
BEL,51.160361,1993-01-01,0.416606,5.126486,NA,44547.8807641453,NA,-2424.1237,NA,8.0799999237060494,NA,22.629999160766602
BEL,53.032954,1994-01-01,2.340164,4.701451,22.345255,45188.764767722,NA,-971.032,NA,9.6499996185302699,NA,28.569999694824201
BEL,52.562931,1995-01-01,-1.517145,5.98441,24.604177,44785.9839510677,NA,-442.6621,828000000,9.3400001525878906,NA,24.7399997711182
BEL,54.151219,1996-01-01,1.265899,5.753423,NA,45265.4249212295,NA,-1253.0875,696000000,9.4799995422363299,1.7429900169372601,23.420000076293899
BEL,55.317912,1997-01-01,1.186783,5.677199,NA,45899.6301823603,NA,879.668,788000000,8.9499998092651403,1.80971002578735,22.930000305175799
BEL,55.051633,1998-01-01,-1.220702,5.943062,NA,45822.2639439387,NA,-531.243,789000000,9.3199996948242205,1.838250041008,25.129999160766602
BEL,56.261079,1999-01-01,1.171195,6.050972,NA,48270.3617036288,NA,3140.3679,925000000,8.6499996185302699,1.90565001964569,38
BEL,56.711659,2000-01-01,0.067746,6.324025,27.084993,47950.3239317737,56.2002423925744,1928.0513,1161000000,6.5900001525878897,1.93619000911713,39.599998474121101
BEL,56.629055,2001-01-01,-1.340413,6.37766,27.626753,48221.8165468763,56.3617734047424,4484.7666,1003000000,6.1799998283386204,2.0327899456024201,40.220001220703097
BEL,57.953347,2002-01-01,1.024881,5.205895,28.134819,49036.1355698971,55.5704834457767,11402.7697,1221000000,6.9099998474121103,1.9032499790191699,39.110000610351598
BEL,58.632351,2003-01-01,0.060166,4.483965,29.031809,49230.7676728333,54.1587191491821,11780.568,1144000000,7.6799998283386204,1.8411899805069001,39.159999847412102
BEL,60.357315,2004-01-01,2.009862,4.610369,30.40086,48990.3182500842,54.0256344672749,12320.1165,1132000000,7.3600001335143999,1.82050001621246,39.740001678466797
BEL,61.03746,2005-01-01,0.232844,4.993799,31.045088,48688.0973575937,53.7015619992476,9813.5857,NA,8.4399995803833008,1.79060995578766,39.380001068115199
BEL,61.03746,2005-01-01,0.232844,4.993799,31.045088,48688.0973575937,53.7015619992476,9813.5857,NA,8.4399995803833008,1.79060995578766,39.380001068115199
BEL,61.605343,2006-01-01,0.289676,4.4754,31.754845,48889.5317517214,54.8686991476841,12256.2661,1097448431,8.25,1.8226900100707999,38.880001068115199
BEL,62.520201,2007-01-01,0.851898,4.712243,32.094864,48658.5261971899,54.6839381017513,12484.9972,986740802,7.46000003814697,1.8499900102615401,38.549999237060497
BEL,62.15517,2008-01-01,-1.291923,4.466501,32.310043,48808.8687239112,54.4881889763779,6872.4839,1138865787,6.9800000190734899,1.93684005737305,38.139999389648402
BEL,61.715291,2009-01-01,-1.915808,3.450723,33.397053,49226.9341746211,54.912009346725,5198.774,1579314281,7.9099998474121103,1.9986000061035201,39.169998168945298
BEL,63.097415,2010-01-01,1.613511,3.117432,34.989502,48940.5782900736,53.8372380741532,7840.7778,NA,8.2899999618530291,2.0618801116943399,39.060001373291001
BEL,63.097415,2010-01-01,1.613511,3.117432,34.989502,48940.5782900736,53.8372380741532,7840.7778,NA,8.2899999618530291,2.0618801116943399,39.060001373291001
BEL,62.804247,2011-01-01,-0.631029,3.275168,34.612984,49382.3864044152,55.1116866299773,6436.1363,1543066303,7.1399998664856001,2.1733200550079301,39.490001678466797
BEL,62.668138,2012-01-01,-0.724104,2.75335,35.316551,49714.5513424921,55.0488326006829,7305.3856,1886431630,7.53999996185303,2.2811400890350302,39.939998626708999
BEL,63.076682,2013-01-01,0.034702,2.268882,35.535332,50362.6586290707,55.1480151917174,9282.933,1787786096,8.4300003051757795,2.3307299613952601,40.680000305175803
BEL,63.70542,2014-01-01,0.44873,2.526162,36.855022,50583.0421345091,53.8196001315331,6179.354,NA,8.5200004577636701,2.3700199127197301,40.029998779296903
BEL,63.70542,2014-01-01,0.44873,2.526162,36.855022,50583.0421345091,53.8196001315331,6179.354,NA,8.5200004577636701,2.3700199127197301,40.029998779296903
BEL,64.563896,2015-01-01,0.765468,2.797018,36.857422,50259.1820690747,54.2340450711527,6962.689,NA,8.4799995422363299,2.4281699657440199,40.2700004577637
BEL,64.563896,2015-01-01,0.765468,2.797018,36.857422,50259.1820690747,54.2340450711527,6962.689,NA,8.4799995422363299,2.4281699657440199,40.2700004577637
BEL,64.708887,2016-01-01,-0.12533,2.904009,37.503956,50041.0771459814,NA,4306.2437,1769083669,7.8299999237060502,2.5233800411224401,39.069999694824197
BEL,64.81572,2017-01-01,-0.112886,2.897977,40.257053,49674.9950476864,NA,7362.9736,NA,7.0900001525878897,2.6666600704193102,36.75
CAN,27.006985,1970-01-01,NA,NA,NA,NA,NA,21367.7199,NA,5.9000000953674299,NA,NA
CAN,27.710729,1971-01-01,NA,NA,NA,NA,NA,21269.0634,NA,6.4000000953674299,NA,NA
CAN,28.653037,1972-01-01,NA,NA,NA,NA,NA,19533.94,NA,6.3000001907348597,NA,NA
CAN,29.37113,1973-01-01,NA,NA,NA,NA,NA,18332.8179,NA,5.5999999046325701,NA,NA
CAN,29.486436,1974-01-01,NA,NA,NA,NA,NA,5704.4901,NA,5.4000000953674299,NA,NA
CAN,29.930443,1975-01-01,NA,NA,NA,NA,NA,567.3618,NA,NA,NA,NA
CAN,31.49156,1976-01-01,NA,NA,NA,NA,NA,1841.3111,NA,7.0900001525878897,NA,34.319999694824197
CAN,32.371697,1977-01-01,NA,NA,NA,NA,NA,8108.1136,NA,8.0500001907348597,NA,33.569999694824197
CAN,32.695189,1978-01-01,NA,NA,NA,NA,NA,15215.4545,NA,8.3800001144409197,NA,30.450000762939499
CAN,32.402641,1979-01-01,NA,NA,NA,NA,NA,12662.3045,NA,7.5300002098083496,NA,29.709999084472699
CAN,32.309487,1980-01-01,NA,NA,NA,NA,NA,16930.3138,NA,7.53999996185303,NA,33.0200004577637
CAN,32.762677,1981-01-01,NA,NA,23.179003,NA,NA,16473.3533,NA,7.6100001335143999,NA,36.9799995422363
CAN,33.209746,1982-01-01,NA,NA,NA,NA,NA,30779.624,NA,11.039999961853001,NA,36.319999694824197
CAN,33.980935,1983-01-01,NA,NA,NA,NA,NA,28856.5325,NA,12.0200004577637,NA,35.5
CAN,34.910047,1984-01-01,NA,NA,NA,NA,NA,35290.0615,NA,11.3400001525879,NA,35
CAN,35.222235,1985-01-01,0.863692,3.85876,NA,NA,NA,32598.0717,NA,10.5,NA,35.009998321533203
