avg_weekly_earnings,bonuses,date
508.77140109153203,20.779796141731001,2001 Nov
509.20313790570401,37.219543766005998,2000 Nov
514.17921489260198,29.230596557045999,2002 May
515.97599239004205,25.356544121264001,2002 Oct
516.672344801441,55.859248891067999,2000 Jul
519.68254940326096,31.806513695774001,2001 Sep
520.80473241336597,33.161004237923997,2002 Jun
520.92511932188404,31.755258391116001,2002 Sep
521.46376727721599,32.797323901047001,2002 Aug
523.66291100541105,23.351054485586001,2003 Aug
524.02030786756302,29.228206177613998,2001 Aug
524.42196859587898,29.79203061111,2002 Nov
526.94519491125504,34.242170693367001,2001 May
527.01894013813398,75.072381186241003,2000 Apr
528.01185866736705,22.689368887592,2003 Jun
532.50322322226998,23.594624515204,2003 Sep
537.33562895813805,27.862677318768,2003 May
543.48918261013,29.084964761588999,2003 Oct
547.06073030872005,48.149457301744,2001 Jul
548.011740395061,59.799334515864999,2002 Jul
549.76882085252703,31.209038449636999,2003 Nov
555.63036061355001,51.867265118890998,2003 Jul
561.98388474928004,29.703832116640001,2004 Sep
565.74934618528096,78.068904319213004,2002 Apr
568.79457042087597,31.566890734643,2004 Aug
575.39832626910095,82.784604629382997,2001 Jun
578.99146123750199,121.44143873112,2000 Jan
582.47984576460601,50.870639162800003,2004 Jun
583.38814582628504,54.220071992028998,2004 May
586.11706556016998,81.951593610312003,2003 Apr
587.53232308235999,44.176629485897003,2004 Nov
591.45584872937695,57.340204595167997,2004 Jul
594.17233891498404,99.680639049316,2001 Apr
599.56866867125495,57.526603092868001,2004 Oct
602.33859316964299,39.006423174418003,2005 Oct
602.39673231167706,76.980959354934996,2004 Apr
613.82866818080004,94.764716595516006,2003 Dec
615.38480680630096,45.815615427209998,2005 Jul
620.51446019193202,52.968466692207997,2005 May
627.96037307803897,62.784348479830001,2005 Sep
629.04884052906596,62.742733493601001,2005 Nov
634.59576477226597,45.906620278197998,2006 Sep
639.01829223498498,80.944711715672,2005 Jun
641.49602587492996,46.321792358918998,2006 Oct
642.78044820661,80.608100668313995,2005 Apr
644.775134033359,151.51354638927401,2002 Dec
645.01061243905394,79.314099695731002,2005 Aug
653.40388587658504,154.62633523662899,2003 Jan
661.26353944467701,172.63617347035901,2001 Dec
668.937436943237,73.827921728077996,2006 Nov
671.39489873213904,44.657948893747999,2007 Oct
672.33261356978198,119.18588166876999,2004 Dec
677.07145944302397,79.391304956210007,2006 Aug
682.33469032450603,78.234135236189999,2006 May
689.02343297726895,90.941343411475003,2006 Apr
694.20178329388398,45.460292730211002,2008 Nov
694.57602777523505,209.38017742068499,2002 Jan
696.99169594294995,67.021325035223001,2007 Nov
697.31547441044097,241.151137315119,2000 Feb
703.65095220414901,78.432067821493007,2007 Aug
703.88186348772297,103.758616709148,2006 Jul
706.14342208546896,78.752478821946994,2007 Jul
706.54190282467505,126.77333360270799,2005 Dec
707.16776871627803,232.23146436878099,2000 Dec
708.24475024826802,89.329504781354004,2007 Apr
