country,avg_work_week,time
PRT,39.3072038311191,2020
PRT,39.5944425828173,2021
ESP,37.3971180343888,2010
ESP,37.1890007282822,2011
ESP,36.8823493586222,2012
ESP,36.5780576974424,2013
ESP,36.5037366030092,2014
ESP,36.5001225075573,2015
ESP,36.4567636589577,2016
ESP,36.4448482916109,2017
ESP,36.5269280714782,2018
ESP,36.4105531629779,2019
ESP,36.443798872163,2020
ESP,36.3367118572722,2021
SWE,35.817042978212,2010
SWE,35.8631447661578,2011
SWE,35.9171949510988,2012
SWE,35.928298889652,2013
SWE,35.9732581733802,2014
SWE,35.9907959082192,2015
SWE,36.0797174427847,2016
SWE,36.0857337510959,2017
SWE,36.158473861201,2018
SWE,36.121506697917,2019
SWE,36.1363498570404,2020
SWE,37.9616533972125,2021
CHE,34.6750757474227,2010
CHE,34.8416583474592,2011
CHE,34.7770915320912,2012
CHE,34.7473343414597,2013
CHE,34.6240445033172,2014
CHE,34.7257826881886,2015
CHE,34.8390956251825,2016
CHE,34.8486498622203,2017
CHE,34.8378045355479,2018
CHE,34.6880850758524,2019
CHE,34.7472613475167,2020
CHE,36.0853890081249,2021
GBR,36.1956635139932,2010
GBR,36.2717870057535,2011
GBR,36.2713131114404,2012
GBR,36.4391596763066,2013
GBR,36.6565734039094,2014
GBR,36.7123123162395,2015
GBR,36.6901351176754,2016
GBR,36.617426578447,2017
GBR,36.6909985772868,2018
GBR,36.6434218901635,2019
GBR,36.6070257535523,2020
GBR,36.7694990070764,2021
ISR,40.6443364923498,2010
ISR,40.7129429130322,2011
ISR,40.9942011429374,2012
ISR,40.664611619795,2013
ISR,40.5500924050417,2014
ISR,40.6355636389845,2015
ISR,40.7430479633818,2016
ISR,40.8479876976794,2017
ISR,40.737324550467,2018
ISR,40.6862953283021,2019
ISR,40.755208971553,2020
ISR,40.7287087727681,2021
